Country,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,ISO,Life expectancy,Meat consumption,Suicide rate,Male Height in Cm,Female Height in Cm,Surface area (km2),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Afghanistan,38928346,2.33,886592,60,652860,-62920,4.6,18,25.0,0.5,AFG,64.5,17.3,6.4,168.5,156.11,652864,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10.0,28.5,8.6,,125,125,1458,3568,-2110,-5121.0,68.6,8.2,0.3,3.3,,,,27.7,61.6,8.3,42,2.1,,63,5,,,21.43,-99
Algeria,43851044,1.85,797990,18,2381740,-10000,3.1,29,73.0,0.56,DZA,76.7,18.3,3.3,175.04,162.35,2381741,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,,160,161,29992,47091,-17099,-27229.0,27.7,7.2,,,,,,31.6,113.0,38.2,135,0.8,,5900,55,,,0.05,-99
Angola,32866272,3.27,1040977,26,1246700,6413,5.6,17,67.0,0.42,AGO,60.8,19.0,8.9,168.46,158.1,1246700,117955,3.0,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,,175,176,21011,8790,12221,-10273.0,65.4,3.3,,,,,,38.2,60.8,12.4,146,46.5,,3902,25,,,0.42,-99
Antigua and Barbuda,97929,0.84,811,223,440,0,2.0,34,26.0,0.0,ATG,76.9,56.0,0.5,178.84,165.72,442,1356,4.1,14764.5,1.9,18.3,79.8,,,,,,88,88,61,491,-429,-204.0,9.1,5.5,-99.0,,,,,11.1,137.2,65.2,55,22.3,,-99,84,,,0.12,-99
Argentina,45195774,0.93,415097,17,2736690,4800,2.3,32,93.0,0.58,ARG,76.5,79.7,9.1,174.76,161.22,2780400,632343,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,,119,119,57733,55610,2124,-15944.0,13.7,4.8,3.8,5.3,,,,38.9,143.9,69.4,256,10.0,,3167,85,,,0.01,-99
Armenia,2963243,0.19,5512,104,28470,-4998,1.8,35,63.0,0.04,ARM,74.9,27.7,5.7,173.67,159.85,29743,10529,3.0,3489.1,19.0,28.3,52.8,35.0,15.7,49.3,16.6,,135,135,1776,3230,-1455,-279.0,13.2,4.5,2.8,2.8,,,,9.9,115.2,58.2,114,11.7,,48,46,,,3.17,-99
Australia,25499884,1.18,296686,3,7682300,158246,1.8,38,86.0,0.33,AUS,83.3,108.2,11.7,178.77,164.67,7692060,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,,111,111,189630,189406,224,-57746.0,3.9,9.4,3.4,5.2,,,,28.7,132.8,84.6,948,16.2,,15282,222,,,-99.0,-99
Austria,9006398,0.57,51296,109,82409,65000,1.5,43,57.0,0.12,AUT,81.4,94.1,11.4,178.52,166.93,83871,376967,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,,108,108,145503,149299,-3795,7020.0,3.3,11.2,5.2,5.5,,,,30.6,157.4,83.9,118,46.9,,505,158,,,-99.0,-99
Azerbaijan,10139177,0.91,91459,123,82658,1200,2.1,32,56.0,0.13,AZE,72.9,15.9,2.6,174.0,161.37,86600,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,,131,136,9143,8532,611,-222.0,31.4,6.0,3.4,2.6,,-99.0,,16.8,111.3,77.0,97,13.5,,2459,61,,,0.14,-99
Bahamas,393244,0.97,3762,39,10010,1000,1.8,32,86.0,0.01,BHS,73.8,123.6,1.6,174.4,163.46,13940,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,,132,132,365,2904,-2539,-1409.0,9.1,7.7,,,,,-99.0,13.2,80.3,78.0,86,51.4,,0,90,,,-99.0,-99
Bahrain,1701575,3.68,60403,2239,760,47800,2.0,32,89.0,0.02,BHR,77.2,70.7,5.7,172.76,158.29,771,31126,2.9,22600.2,0.3,40.7,59.0,1.0,33.4,65.6,1.3,,167,167,12892,14749,-1856,1124.0,6.9,5.0,0.9,2.7,,,,7.5,185.3,93.5,36,0.8,,961,413,,,-99.0,-99
Bangladesh,164689383,1.01,1643222,1265,130170,-369501,2.1,28,39.0,2.11,BGD,72.3,3.1,6.1,165.08,152.38,147570,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4.0,,141,140,36031,52624,-16593,2687.0,33.3,2.8,0.4,1.9,,,,20.3,83.4,14.4,151,11.0,,1438,11,,,1.24,-99
Barbados,287375,0.12,350,668,430,-79,1.6,40,31.0,0.0,BRB,79.1,88.7,0.4,177.03,165.66,431,4385,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,,88,88,517,1621,-1104,-248.0,9.6,7.5,,6.6,,,,16.7,116.5,76.1,56,14.7,,2,59,,,,-99
Belarus,9449323,-0.03,-3088,47,202910,8730,1.7,40,79.0,0.12,BLR,74.6,58.6,21.4,178.69,166.93,207600,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32.0,58.4,0.5,,122,122,23414,27464,-4050,-2037.0,3.6,5.7,4.1,4.9,,,,34.5,123.6,62.2,25,42.5,,155,122,,,0.2,-99
Belgium,11589623,0.44,50295,383,30280,48000,1.7,42,98.0,0.15,BEL,81.5,86.1,15.7,179.09,163.4,30528,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,,108,107,398033,372713,25321,1936.0,3.5,10.6,3.0,6.6,,,,38.0,115.7,85.1,37,22.6,,520,196,,,-99.0,-99
Belize,397628,1.86,7275,17,22810,1200,2.3,25,46.0,0.01,BLZ,74.5,74.7,5.9,170.52,158.12,22966,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,,97,97,246,952,-706,-175.0,14.3,5.8,,6.4,,,,9.4,48.9,41.6,117,60.1,,9,36,,,1.68,-99
Benin,12123200,2.73,322049,108,112760,-2000,4.9,19,48.0,0.16,BEN,61.5,16.2,15.7,168.44,158.4,114763,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1.0,,152,158,410,2630,-2220,-885.0,67.7,4.6,0.1,4.4,,,,7.2,85.6,6.8,88,38.7,,96,17,,,5.09,-99
Bhutan,771608,1.12,8516,20,38117,320,2.0,28,46.0,0.01,BTN,71.5,3.0,11.6,167.05,155.15,38394,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,,98,98,616,1688,-1072,-579.0,30.5,3.6,0.3,7.4,,,,8.5,87.1,39.8,71,72.0,,75,82,,,5.26,-99
"Bolivia, Plurinational State of",11673021,1.39,159921,11,1083300,-9504,2.8,26,69.0,0.15,BOL,71.2,50.0,12.9,168.1,155.58,1098581,32998,4.8,3076.8,12.6,31.0,56.5,29.5,21.1,49.4,3.8,,142,143,6969,8374,-1405,-1854.0,42.9,6.3,0.5,7.3,,,,53.1,92.2,45.1,231,50.8,,962,32,,,2.38,-99
Bosnia and Herzegovina,3280819,-0.61,-20181,64,51000,-21585,1.3,43,52.0,0.04,BIH,77.3,21.4,6.4,182.47,167.47,51209,16251,3.1,4265.0,7.3,26.5,66.2,18.0,30.4,51.7,25.4,,96,97,5327,9130,-3803,-923.0,7.6,9.6,1.9,-99.0,-99.0,-99.0,-99.0,21.4,90.2,65.1,91,42.7,,252,85,,,2.2,-99
Botswana,2351627,2.08,47930,4,566730,3000,2.9,24,73.0,0.03,BWA,69.3,27.3,11.5,173.16,162.06,582000,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,,110,110,7321,6103,1218,1120.0,35.2,5.4,0.4,,,,,9.5,169.0,27.5,28,19.3,,47,44,,,0.46,-99
Brazil,212559417,0.72,1509890,25,8358140,21200,1.7,33,88.0,2.73,BRA,75.7,82.4,6.1,175.73,162.41,8515767,1772591,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,,135,136,185235,137552,47683,-58882.0,15.8,8.3,1.9,6.0,,,,10.7,126.6,59.1,990,59.2,,10948,61,,,0.06,-99
Bulgaria,6948445,-0.74,-51674,64,108560,-4800,1.6,45,76.0,0.09,BGR,74.9,69.4,7.9,174.17,164.58,111002,48953,3.0,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,,117,119,26088,28875,-2787,196.0,8.3,8.4,4.0,4.1,,,,19.2,129.3,56.7,104,35.1,,474,103,,,-99.0,-99
Burkina Faso,20903273,2.86,581895,76,273600,-25000,5.2,18,31.0,0.27,BFA,61.2,11.2,14.8,171.89,161.33,272967,11065,4.1,611.1,34.5,21.8,43.7,80.0,4.9,15.1,2.9,,131,134,2019,3699,-1680,-998.0,64.8,5.0,,4.1,,,,11.0,80.6,11.4,31,19.8,,123,9,,,9.11,-99
Burundi,11890784,3.12,360204,463,25680,2001,5.5,17,14.0,0.15,BDI,61.2,3.5,15.0,167.34,155.08,27830,2735,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,,109,122,123,625,-502,-375.0,77.8,7.5,,5.4,,,,36.4,46.2,4.9,61,10.6,,56,6,,,11.91,-99
Cambodia,16718965,1.41,232423,95,176520,-30000,2.5,26,24.0,0.21,KHM,69.6,13.9,5.9,165.35,154.75,181035,18050,7.0,1158.7,28.2,29.4,42.3,42.4,19.6,38.0,0.3,,175,177,13204,15313,-2109,-1657.0,29.9,5.7,0.2,1.9,,,,20.3,133.0,19.0,255,54.3,,178,17,,,3.97,-99
Cameroon,26545863,2.59,669483,56,472710,-4800,4.6,19,56.0,0.34,CMR,58.9,14.4,19.5,172.13,160.41,475650,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,,155,160,2130,4899,-2768,-1173.0,67.5,4.1,,3.0,,,,31.1,71.8,20.7,775,40.3,,408,14,,,2.31,-99
Canada,37742154,0.89,331107,4,9093510,242032,1.5,41,81.0,0.48,CAN,82.3,108.1,10.4,178.75,164.73,9984670,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,,109,109,388911,402954,-14043,-53083.0,4.7,10.4,2.5,5.3,,,,26.3,81.9,88.5,122,38.2,,19276,324,,,-99.0,-99
Central African Republic,4829767,1.78,84582,8,622980,-40000,4.8,18,43.0,0.06,CAF,52.8,28.0,11.6,169.01,159.65,622984,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,,114,113,213,147,66,-99.0,93.5,4.2,,1.2,,,,8.6,20.4,4.6,60,35.6,,19,5,,,32.25,-99
Chad,16425864,3.0,478988,13,1259200,2000,5.8,17,23.0,0.21,TCD,54.0,14.3,15.5,171.84,162.12,1284000,10009,6.6,713.0,25.4,39.0,35.6,76.6,2.0,21.4,5.8,,146,151,1990,1371,619,-99.0,91.2,3.6,,2.8,,,,12.8,40.2,2.7,43,4.0,,288,6,,,5.74,-99
Chile,19116201,0.87,164163,26,743532,111708,1.7,35,85.0,0.25,CHL,80.0,66.4,9.7,172.88,159.42,756102,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,,111,111,59884,58804,1080,-4761.0,7.4,7.8,,4.9,,,,15.8,129.5,64.3,197,23.4,,540,85,,,0.02,-99
China,1439323776,0.39,5540090,153,9388211,-348399,1.7,38,61.0,18.47,CHN,76.7,52.4,8.0,175.66,163.46,9600000,11158457,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,,132,133,2118981,1588696,530285,330602.0,11.6,5.5,1.5,-99.0,,,,23.7,93.2,50.3,1080,22.0,,101394,87,,,0.0,-99
Colombia,50882891,1.08,543448,46,1109500,204796,1.8,31,80.0,0.65,COL,77.1,33.9,7.0,171.85,157.96,1141748,292080,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,,114,115,31045,44831,-13786,-18922.0,17.9,7.2,,4.5,,,,18.7,115.7,55.9,835,52.8,,5380,31,,,0.47,-99
Comoros,869601,2.2,18715,467,1861,-2000,4.2,20,29.0,0.01,COM,64.1,7.6,11.1,167.72,156.54,2235,1079,4.8,1368.9,30.7,4.0,65.3,62.0,5.2,32.8,20.0,,107,107,20,193,-173,,58.1,6.7,,4.3,,,,6.1,54.8,7.5,114,20.1,,3,6,,,12.05,-99
Congo,5518087,2.56,137579,16,341500,-4000,4.5,19,70.0,0.07,COG,64.3,13.3,9.3,171.23,158.78,342000,8493,1.2,1838.1,4.7,70.0,25.3,40.7,25.8,33.5,11.5,,106,106,2540,9793,-7253,,46.5,5.2,,,,,,7.4,111.7,7.6,134,65.4,,648,24,,,1.05,-99
Costa Rica,5094118,0.92,46557,100,51060,4200,1.8,33,80.0,0.07,CRI,80.1,40.4,7.5,174.04,160.36,51100,52958,3.7,11015.0,5.1,21.5,73.4,11.6,19.1,69.3,8.6,,127,129,9908,15322,-5414,-2493.0,9.3,9.3,1.2,7.2,,,,35.1,150.7,59.8,340,53.4,,110,44,,,0.22,-99
Croatia,4105267,-0.61,-25037,73,55960,-8001,1.4,44,58.0,0.05,HRV,78.3,49.9,11.5,180.76,166.8,56594,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,,91,91,13648,21830,-8182,2492.0,3.9,7.8,3.1,4.6,,,,19.9,103.8,69.8,176,34.3,,182,79,,,,-99
Cuba,11326616,-0.06,-6867,106,106440,-14400,1.6,42,78.0,0.15,CUB,78.6,32.2,10.1,173.56,160.13,109884,87206,4.4,7656.6,5.0,20.5,74.5,12.9,11.7,75.3,3.0,,100,101,18000,4911,13089,-99.0,5.5,11.1,7.5,,,,,48.9,29.6,31.1,339,30.2,,212,47,,,,-99
Cyprus,1207359,0.73,8784,131,9240,5000,1.3,37,67.0,0.02,CYP,80.8,131.3,4.5,172.75,160.55,9251,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,,80,80,1920,6604,-4684,-576.0,4.2,7.4,2.5,6.1,,,,17.9,95.4,71.7,72,18.7,,5,72,,,-99.0,-99
Czech Republic (Czechia),10708981,0.18,19772,139,77240,22011,1.6,43,74.0,0.14,CZE,79.2,77.3,10.5,181.19,167.96,78868,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37.0,60.5,3.9,,102,102,161248,140316,20932,1683.0,2.5,7.4,3.7,4.1,,,,20.0,129.2,81.3,53,34.5,,1221,164,,,-99.0,-99
"Congo, The Democratic Republic of the",89561403,3.19,2770836,40,2267050,23861,6.0,17,46.0,1.15,COD,60.4,4.8,9.7,168.6,156.3,2344858,37569,7.0,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,,104,104,5103,5906,-803,-1546.0,73.2,4.3,,2.2,,,,8.9,53.0,3.8,349,67.4,,1179,16,,,8.01,-99
Denmark,5792202,0.35,20326,137,42430,15200,1.8,42,88.0,0.07,DNK,80.8,145.9,9.2,181.89,169.47,42921,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6.0,,105,105,94355,85133,9222,27582.0,3.5,10.8,3.6,8.6,,,,37.4,128.3,96.3,47,14.4,,666,119,,,-99.0,-99
Djibouti,988000,1.48,14440,43,23180,900,2.8,27,79.0,0.01,DJI,66.6,17.1,8.5,170.77,159.82,23200,1737,6.5,1956.3,3.3,21.4,75.3,22.8,23.9,53.2,6.6,,133,133,134,987,-852,-548.0,55.3,10.6,0.2,,,,,10.8,34.7,11.9,98,0.2,,3,13,,,,-99
Dominican Republic,10847910,1.01,108952,225,48320,-30000,2.4,28,85.0,0.14,DOM,73.9,37.8,10.5,174.65,161.21,48671,67103,7.0,6373.6,6.6,28.0,65.4,13.1,16.9,70.0,14.4,,136,138,3747,22725,-18978,-1335.0,25.1,4.4,1.5,,,,,26.8,82.6,51.9,184,40.4,,28,28,,,0.43,-99
Ecuador,17643054,1.55,269392,71,248360,36400,2.4,28,63.0,0.23,ECU,76.8,45.0,7.2,167.32,155.25,257217,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,,118,119,16798,16189,609,-2201.0,21.1,9.2,1.7,5.0,,,,41.6,79.4,48.9,2358,50.8,,1247,42,,,0.31,-99
Egypt,102334404,1.94,1946331,103,995450,-38033,3.3,25,43.0,1.31,EGY,71.8,22.5,4.4,174.57,160.88,1002000,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,,120,122,22507,58053,-35545,-16786.0,18.9,5.6,0.8,,,,,14.9,111.0,35.9,156,0.1,,3509,36,,,0.78,-99
El Salvador,6486205,0.51,32652,313,20720,-40539,2.1,28,73.0,0.08,SLV,73.1,21.4,13.5,170.67,156.39,21041,25850,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,,111,117,5335,9855,-4519,-920.0,17.0,6.8,,3.5,,,,32.1,145.3,26.9,86,13.0,,86,28,,,0.36,-99
Eritrea,3546421,1.41,49304,35,101000,-39858,4.1,19,63.0,0.05,ERI,65.9,7.7,13.8,170.6,157.58,117600,4783,4.8,914.9,17.2,23.5,59.3,57.0,7.6,35.4,7.3,,109,109,16,3325,-3310,-99.0,45.0,3.3,,,,,,22.0,7.0,1.1,122,15.0,,27,7,,,,-99
Estonia,1326535,0.07,887,31,42390,3911,1.6,42,68.0,0.02,EST,78.6,67.4,14.4,182.79,168.66,45227,22460,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,,136,136,13952,15759,-1807,493.0,3.2,6.4,3.3,5.5,,,,26.7,148.7,88.4,23,52.7,,242,193,,,-99.0,-99
Ethiopia,114963588,2.57,2884858,115,1000000,30000,4.3,19,21.0,1.47,ETH,66.2,7.9,11.4,168.84,157.15,1104300,59917,9.6,602.8,40.5,16.0,43.5,70.5,8.4,21.1,5.7,,158,157,1724,19121,-17397,,45.8,4.9,,4.5,,,,38.8,42.8,11.6,148,12.5,,1308,15,,,5.28,-99
Fiji,896445,0.73,6492,49,18270,-6202,2.8,28,59.0,0.01,FJI,67.3,39.1,5.5,173.98,164.28,18272,4391,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,7.7,,88,88,926,2316,-1391,-72.0,16.0,4.5,,3.9,,,,16.0,108.2,46.3,291,55.4,,8,26,,,2.46,-99
Finland,5540720,0.15,8564,18,303890,14000,1.5,43,86.0,0.07,FIN,81.7,67.4,11.7,180.57,166.48,338440,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,,101,101,57326,60502,-3176,-979.0,2.3,9.7,3.0,7.2,,,,42.0,135.5,92.7,36,73.1,,757,257,,,-99.0,-99
