Country,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,ISO,Life expectancy,Meat consumption,Suicide rate,Male Height in Cm,Female Height in Cm,Surface area (km2),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
France,65273511,0.22,143783,119,547557,36527,1.9,42,82.0,0.84,FRA,82.5,101.1,12.1,178.6,164.49,551500,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,,103,103,488885,560555,-71670,-4861.0,3.4,11.5,3.2,5.5,,,,25.8,102.6,84.7,278,30.8,,5694,158,,,-99.0,-99
Gabon,2225734,2.45,53155,9,257670,3260,4.0,23,87.0,0.03,GAB,66.2,46.0,9.6,170.48,160.05,267668,13735,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,,97,92,2851,2930,-79,,40.8,3.4,,2.7,,-99.0,,17.1,168.9,23.5,270,88.5,,559,64,,,0.73,-99
Gambia,2416668,2.94,68962,239,10120,-3087,5.3,18,59.0,0.03,GMB,61.7,5.2,10.0,168.36,161.73,11295,942,4.7,473.2,21.1,14.9,64.0,30.4,14.4,55.2,29.7,,82,82,32,471,-439,,49.8,7.3,,2.8,,,,9.4,131.3,17.1,67,48.1,,7,7,,,12.35,-99
Georgia,3989167,-0.19,-7598,57,69490,-10000,2.1,38,58.0,0.05,GEO,73.6,26.0,6.7,175.98,163.24,69700,13965,2.8,3491.4,9.0,24.1,66.9,44.7,11.2,44.1,11.4,,85,86,2114,7236,-5122,-1775.0,11.2,7.4,4.8,2.0,,,,16.0,129.0,45.2,120,40.6,,61,47,,,3.3,-99
Germany,83783942,0.32,266897,240,348560,543822,1.6,46,76.0,1.07,DEU,81.2,82.1,9.1,180.28,166.18,357376,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,,111,111,1340752,1060672,280080,279969.0,3.4,11.3,4.1,5.0,,,,37.0,116.7,87.6,116,32.7,,5004,158,,,-99.0,-99
Ghana,31072940,2.15,655084,137,227540,-10000,3.9,22,57.0,0.4,GHA,63.8,9.9,8.7,170.3,158.86,238537,37156,3.9,1355.6,19.0,26.9,54.1,41.9,14.2,43.8,5.9,,144,144,7221,11939,-4718,-2809.0,46.5,3.6,,6.2,,,,12.7,129.7,23.5,238,40.9,,410,14,,,4.81,-99
Greece,10423054,-0.48,-50401,81,128900,-16000,1.3,46,85.0,0.13,GRC,82.1,78.7,3.8,179.26,165.81,131957,194860,-0.2,17788.0,4.1,15.7,80.2,12.9,15.0,72.1,23.0,,86,87,27811,47595,-19784,218.0,3.3,8.1,6.3,,,,,18.3,114.0,66.8,374,31.2,,368,89,,,-99.0,-99
Grenada,112523,0.46,520,331,340,-200,2.1,32,35.0,0.0,GRD,72.4,97.0,1.7,178.7,165.99,345,954,6.2,8933.8,8.3,13.9,77.8,-99.0,-99.0,-99.0,,-99.0,103,103,30,350,-320,-213.0,9.6,6.1,,,,,,33.3,112.2,53.8,54,50.0,,0,35,,,2.55,-99
Guatemala,17915568,1.9,334096,167,107160,-9215,2.9,23,52.0,0.23,GTM,74.1,23.8,2.9,164.36,150.91,108889,63794,4.1,3903.5,10.8,27.2,62.0,32.0,18.5,49.4,2.4,,158,158,10572,16987,-6415,-96.0,26.9,6.2,,3.0,,,,12.7,111.5,27.1,290,33.4,,327,32,,,0.66,-99
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17,GIN,61.2,6.5,10.5,170.7,158.75,245857,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,,130,131,1753,2082,-329,-1240.0,65.7,5.6,,3.2,,,,21.9,87.2,4.7,185,26.0,,113,12,,,8.65,-99
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17,GIN,61.2,6.5,7.4,170.7,158.75,245857,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,,130,131,1753,2082,-329,-1240.0,65.7,5.6,,3.2,,,,21.9,87.2,4.7,185,26.0,,113,12,,,8.65,-99
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17,GIN,61.2,13.0,10.5,170.7,158.75,245857,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,,130,131,1753,2082,-329,-1240.0,65.7,5.6,,3.2,,,,21.9,87.2,4.7,185,26.0,,113,12,,,8.65,-99
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17,GIN,61.2,13.0,7.4,170.7,158.75,245857,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,,130,131,1753,2082,-329,-1240.0,65.7,5.6,,3.2,,,,21.9,87.2,4.7,185,26.0,,113,12,,,8.65,-99
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17,GIN,58.0,6.5,10.5,170.7,158.75,245857,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,,130,131,1753,2082,-329,-1240.0,65.7,5.6,,3.2,,,,21.9,87.2,4.7,185,26.0,,113,12,,,8.65,-99
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17,GIN,58.0,6.5,7.4,170.7,158.75,245857,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,,130,131,1753,2082,-329,-1240.0,65.7,5.6,,3.2,,,,21.9,87.2,4.7,185,26.0,,113,12,,,8.65,-99
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17,GIN,58.0,13.0,10.5,170.7,158.75,245857,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,,130,131,1753,2082,-329,-1240.0,65.7,5.6,,3.2,,,,21.9,87.2,4.7,185,26.0,,113,12,,,8.65,-99
Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17,GIN,58.0,13.0,7.4,170.7,158.75,245857,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,,130,131,1753,2082,-329,-1240.0,65.7,5.6,,3.2,,,,21.9,87.2,4.7,185,26.0,,113,12,,,8.65,-99
Guyana,786552,0.48,3786,4,196850,-6000,2.5,27,27.0,0.01,GUY,69.8,31.8,30.2,172.15,159.57,214969,3282,3.1,4278.8,17.6,31.7,50.6,18.4,25.4,56.2,11.3,,142,143,1453,1625,-172,-144.0,33.2,5.2,,3.2,,,,31.9,67.2,38.2,94,84.0,,7,46,,,0.97,-99
Haiti,11402528,1.24,139451,414,27560,-35000,3.0,24,57.0,0.15,HTI,63.7,15.3,12.2,172.23,160.58,27750,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,,163,166,984,3316,-2332,-723.0,46.9,7.6,-99.0,-99.0,-99.0,-99.0,-99.0,2.6,69.9,12.2,205,3.5,,136,16,,,11.73,-99
Honduras,9904607,1.63,158490,89,111890,-6800,2.5,24,57.0,0.13,HND,75.1,24.7,3.4,169.59,155.18,112492,20365,3.6,2521.9,13.0,25.1,61.9,29.4,21.6,49.0,5.6,,122,119,3657,8448,-4791,-1291.0,27.8,8.7,,5.9,,,,25.8,95.5,20.4,301,42.1,,105,28,,,2.86,-99
Hungary,9660351,-0.25,-24328,107,90530,6000,1.5,43,72.0,0.12,HUN,76.7,100.7,13.6,176.59,162.55,93024,121715,3.1,12350.6,4.1,31.9,64.0,4.3,29.8,65.9,4.5,,99,99,103071,92044,11027,3946.0,4.9,7.4,3.3,4.7,,,,10.1,118.9,72.8,66,22.8,,423,97,,,-99.0,-99
Iceland,341243,0.65,2212,3,100250,380,1.8,37,94.0,0.0,ISL,82.9,84.8,13.3,182.1,168.91,103000,16780,4.2,50936.0,6.4,24.0,69.7,4.0,17.7,78.2,3.6,,117,117,4450,5703,-1254,854.0,1.6,8.9,3.8,7.8,,,,47.6,114.0,98.2,27,0.5,,284,952,,,-99.0,-99
India,1380004385,0.99,13586631,464,2973190,-532687,2.2,28,35.0,17.7,IND,69.4,5.2,16.5,166.5,155.18,3287263,2116239,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,,143,142,260327,356705,-96378,-22457.0,41.3,4.7,0.7,3.8,,,,11.8,78.8,26.0,1052,23.7,,23103,27,,,0.16,-99
Indonesia,273523615,1.07,2898047,151,1811570,-98955,2.3,30,56.0,3.51,IDN,71.5,8.3,3.7,166.26,154.36,1910931,861934,4.8,3346.5,14.0,41.3,44.7,31.4,22.4,46.2,5.8,,139,140,144490,135653,8837,-17697.0,25.0,2.8,0.2,3.6,,,,19.8,132.4,22.0,1281,50.6,,19481,35,,,0.0,-99
"Iran, Islamic Republic of",83992949,1.3,1079043,52,1628550,-55000,2.2,32,76.0,1.08,IRN,76.5,23.1,4.0,175.62,161.18,1628750,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,,106,107,45627,35333,10294,-99.0,14.8,7.5,1.5,2.9,,,,5.9,93.4,44.1,134,6.6,,13291,127,,,0.02,-99
Iraq,40222493,2.32,912710,93,434320,7834,3.7,21,73.0,0.52,IRQ,70.5,18.2,4.1,173.79,158.75,435052,164234,-2.4,4509.0,4.6,58.0,37.4,20.4,21.0,58.6,16.1,,123,123,27341,45831,-18490,4121.0,32.1,5.5,0.9,-99.0,,,,25.3,93.8,17.2,72,1.9,,6744,58,,,0.88,-99
Ireland,4937786,1.13,55291,72,68890,23604,1.8,38,63.0,0.06,IRL,82.1,106.3,10.9,179.04,164.5,69797,283716,26.3,60513.6,1.0,41.7,57.3,4.8,17.7,77.4,7.6,,102,102,129315,76997,52318,28967.0,3.4,7.8,2.8,5.3,,,,22.2,103.7,80.1,50,10.9,,84,114,,,-99.0,-99
Israel,8655535,1.6,136158,400,21640,10000,3.0,30,93.0,0.11,ISR,82.8,97.1,5.2,175.98,162.22,22072,299413,2.5,37129.4,1.3,21.2,77.5,1.0,17.9,81.0,5.9,,112,112,60571,65803,-5232,13642.0,3.4,7.8,3.6,5.8,,,,27.5,133.5,78.9,174,7.5,,313,119,,,-99.0,-99
Italy,60461826,-0.15,-88249,206,294140,148943,1.3,47,69.0,0.78,ITA,83.6,90.4,5.5,174.42,161.81,302073,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,,89,89,461529,404578,56951,29348.0,3.0,9.2,3.9,4.1,,,,31.0,151.3,65.6,359,31.4,,1539,103,,,-99.0,-99
Jamaica,2961167,0.44,12888,273,10830,-11332,2.0,31,55.0,0.04,JAM,74.4,56.8,2.0,176.97,164.32,10990,14262,1.0,5105.8,7.1,22.3,70.5,17.9,15.3,66.8,13.1,,102,102,1202,4767,-3565,-400.0,15.0,5.4,,5.5,,,,17.5,111.5,43.2,311,31.0,,8,37,,,0.42,-99
Japan,126476461,-0.3,-383840,347,364555,71560,1.4,48,92.0,1.62,JPN,84.5,45.9,14.3,172.06,158.5,377930,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3.0,,96,97,644932,606924,38008,135608.0,2.2,10.2,2.3,3.6,,,,9.3,125.0,93.3,404,68.5,,1114,146,,,-99.0,-99
Jordan,10203134,1.0,101440,115,88780,10220,2.8,24,91.0,0.13,JOR,74.4,29.8,3.7,174.84,159.46,89318,37517,2.4,4940.1,4.0,27.7,68.4,2.0,17.8,80.2,13.4,,134,135,7509,19207,-11698,-3332.0,17.1,7.5,2.6,-99.0,,,,15.4,179.4,53.4,113,1.1,,7,47,,,5.8,-99
Kazakhstan,18776707,1.21,225280,7,2699700,-18000,2.8,31,58.0,0.24,KAZ,73.2,44.8,22.8,175.5,161.74,2724902,181754,1.2,10312.1,5.0,32.5,62.5,18.1,20.4,61.6,5.6,,126,127,36775,25175,11601,-5464.0,14.1,4.4,3.3,2.8,,,,27.1,187.2,72.9,82,1.2,,7091,193,,,0.05,-99
Kenya,53771296,2.28,1197323,94,569140,-10000,3.5,20,28.0,0.69,KEN,63.3,14.3,5.6,170.46,159.43,591958,63399,5.6,1376.7,32.0,19.0,49.0,61.9,8.6,29.5,10.8,,126,126,5688,14109,-8420,-6339.0,39.4,5.7,0.2,5.3,,,,19.4,80.7,45.6,480,7.7,,750,20,,,3.93,-99
Kiribati,119449,1.57,1843,147,810,-800,3.6,23,57.0,0.0,KIR,68.1,32.1,15.2,170.09,161.04,726,162,3.7,1442.9,24.1,13.6,62.2,,,,,,61,61,3,116,-113,45.0,46.9,10.2,0.2,,,,-99.0,6.5,38.8,13.0,104,15.0,,0,8,,,20.05,-99
Kuwait,4270571,1.51,63488,240,17820,39520,2.1,37,43.0,0.05,KWT,75.4,60.2,2.2,174.96,160.1,17818,114054,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,,199,199,46238,30825,15413,8584.0,8.4,3.0,1.9,,,,,3.1,231.8,82.1,49,0.4,,6941,380,,,-99.0,-99
Kyrgyzstan,6524195,1.69,108345,34,191800,-4000,3.0,26,36.0,0.08,KGZ,71.3,39.0,9.1,171.66,160.2,199949,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21.0,49.8,7.7,,108,110,1423,3844,-2421,-721.0,19.6,6.5,1.9,5.5,,,,19.2,132.8,30.2,44,3.4,,80,27,,,12.16,-99
Lao People's Democratic Republic,7275560,1.48,106105,32,230800,-14704,2.7,24,36.0,0.09,LAO,67.6,15.0,9.3,162.78,153.1,236800,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4.0,17.7,1.5,,193,186,2066,4513,-2447,-2264.0,47.3,1.9,0.2,3.3,,,,27.5,53.1,18.2,209,80.5,,72,12,,,4.03,-99
Latvia,1886198,-1.08,-20545,30,62200,-14837,1.7,44,69.0,0.02,LVA,75.2,45.7,17.2,181.17,168.81,64573,27004,2.7,13704.1,3.2,23.3,73.5,7.3,23.0,69.7,9.6,,130,130,11433,13596,-2163,-210.0,6.5,5.9,3.2,5.3,,,,16.0,127.0,79.2,30,54.0,,108,99,,,-99.0,-99
Lebanon,6825445,-0.44,-30268,667,10230,-30012,2.1,30,78.0,0.09,LBN,78.9,63.1,3.2,178.96,163.67,10452,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7.0,,95,95,3402,20409,-17007,-8146.0,9.2,6.4,2.4,2.6,,,,3.1,87.1,74.0,87,13.4,,7,55,,,2.04,-99
Lesotho,2142249,0.8,16981,71,30360,-10047,3.2,24,31.0,0.03,LSO,53.7,15.4,28.9,167.92,156.72,30355,2008,2.8,940.6,7.7,31.3,61.0,39.7,20.0,40.3,27.5,,101,100,648,1727,-1079,-168.0,59.8,10.6,,,,,,25.0,105.5,16.1,18,1.6,,31,28,,,4.11,-99
Liberia,5057681,2.44,120307,53,96320,-5000,4.4,19,53.0,0.06,LBR,63.7,7.9,13.4,165.48,156.54,111369,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43.0,4.1,,104,121,641,727,-86,-860.0,59.0,10.0,,2.8,,,,12.3,81.1,5.9,172,43.7,,73,19,,,61.73,-99
Libya,6871292,1.38,93840,4,1759540,-1999,2.3,29,78.0,0.09,LBY,72.7,28.6,5.5,176.39,162.56,1676198,34457,-10.2,5488.2,0.9,67.1,32.0,19.1,25.1,55.8,19.2,,113,114,4615,8876,-4261,-108.0,24.3,5.0,2.1,-99.0,,,,16.0,157.0,19.0,63,0.1,,1505,119,,,0.51,-99
Lithuania,2722289,-1.35,-37338,43,62674,-32780,1.7,45,71.0,0.03,LTU,75.7,49.5,25.7,180.72,167.63,65286,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,,125,125,25025,27501,-2476,-977.0,4.4,6.6,4.3,4.6,,,,21.3,139.5,71.4,26,34.8,,74,98,,,-99.0,-99
Luxembourg,625978,1.66,10249,242,2590,9741,1.5,40,88.0,0.01,LUX,82.1,141.7,10.4,178.46,165.07,2586,56802,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,,98,98,12838,19124,-6285,2962.0,3.4,6.9,2.9,4.1,,,,28.3,148.5,97.3,11,33.5,,6,290,,,-99.0,-99
Madagascar,27691018,2.68,721711,48,581795,-1500,4.1,20,39.0,0.36,MDG,66.7,17.6,6.9,165.16,153.06,587295,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,,119,120,2256,2965,-709,-622.0,36.8,3.0,0.1,2.1,,,,19.2,46.0,4.2,1324,21.5,,129,7,,,7.05,-99
Malawi,19129952,2.69,501205,203,94280,-16053,4.3,18,18.0,0.25,MWI,63.8,5.1,7.8,165.68,156.14,118484,6420,3.0,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,,149,150,875,1649,-774,-710.0,66.5,11.4,,5.6,,,,16.7,35.3,9.3,176,33.6,,89,6,,,16.53,-99
Malaysia,32365999,1.3,416222,99,328550,50000,2.0,30,78.0,0.42,MYS,76.1,50.9,6.2,169.2,157.06,330323,296284,5.0,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,,122,130,189414,168375,21039,8960.0,6.5,4.2,1.3,5.0,,,,10.4,143.9,71.1,1272,67.5,,3738,118,,,0.0,-99
Mali,20250833,3.02,592802,17,1220190,-40000,5.9,16,44.0,0.26,MLI,58.9,19.0,8.9,175.02,161.99,1240192,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,,154,157,3030,2510,520,-676.0,78.5,7.0,,3.7,,,,8.8,139.6,10.3,42,3.9,,55,4,,,9.45,-99
Malta,441543,0.27,1171,1380,320,900,1.5,43,93.0,0.01,MLT,82.4,86.9,6.5,174.38,162.95,315,9747,6.2,23280.7,1.4,15.0,83.6,1.2,20.9,77.9,5.4,,96,96,4039,7182,-3143,539.0,4.8,9.7,3.9,7.8,,,,12.5,129.3,76.2,39,1.1,,1,78,,,-99.0,-99
Mauritania,4649658,2.74,123962,5,1030700,5000,4.6,20,57.0,0.06,MRT,64.7,29.9,7.5,165.54,160.06,1030700,5023,1.2,1235.0,20.9,41.7,37.4,40.3,9.5,50.2,12.0,,125,125,1623,2174,-551,-1066.0,68.0,3.8,,2.9,,,,25.2,89.3,15.2,86,0.2,,31,13,,,5.02,-99
Mauritius,1271768,0.17,2100,626,2030,0,1.4,37,41.0,0.02,MUS,74.9,39.6,7.3,173.01,158.94,1969,11511,3.5,9040.9,2.9,22.7,74.4,7.3,25.2,67.5,7.6,,96,96,2194,4655,-2461,-566.0,12.0,4.8,,4.9,,,,11.6,140.6,50.1,257,19.0,,10,51,,,0.67,-99
Mexico,128932753,1.06,1357224,66,1943950,-60000,2.1,29,84.0,1.65,MEX,75.0,58.6,5.2,170.29,157.9,1964375,1140724,2.5,8980.9,3.6,36.0,60.4,13.4,25.2,61.3,4.1,,120,120,373883,387064,-13181,-33216.0,18.8,6.3,2.1,5.3,,,,42.6,85.3,57.4,1162,34.0,,8514,62,,,0.03,-99
"Moldova, Republic of",4033963,-0.23,-9300,123,32850,-1387,1.3,38,43.0,0.05,MDA,71.8,22.7,13.4,175.59,162.96,33846,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5.0,,109,109,2045,4020,-1975,-415.0,14.3,10.3,2.5,7.5,,,,22.8,108.0,49.8,35,12.3,,15,23,,,4.49,-99
Mongolia,3278290,1.65,53123,2,1553560,-852,2.9,28,67.0,0.04,MNG,69.7,108.8,13.3,170.67,159.89,1564116,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51.0,6.3,,147,149,4917,3358,1559,-948.0,22.8,4.7,2.9,4.6,,,,17.1,105.0,21.4,41,8.1,,677,84,,,2.21,-99
Morocco,36910560,1.2,438791,83,446300,-51419,2.4,30,64.0,0.47,MAR,76.5,20.6,3.1,176.35,161.18,446550,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,,130,130,22858,41696,-18838,-2161.0,28.1,5.9,0.6,,,,,20.5,126.9,57.1,207,12.6,,78,23,,,1.51,-99
Mozambique,31255435,2.93,889399,40,786380,-5000,4.9,18,38.0,0.4,MOZ,60.2,5.6,8.4,164.3,155.42,799380,14806,6.6,529.2,24.6,21.0,54.4,75.0,4.1,21.0,24.1,,137,137,3352,5295,-1943,-5833.0,67.3,7.0,0.1,6.5,,,,39.6,74.2,9.0,309,48.5,,779,20,,,12.54,-99
Myanmar,54409800,0.67,364380,83,653290,-163313,2.2,29,31.0,0.7,MMR,66.9,10.7,8.1,166.7,154.71,676577,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,,130,128,11673,15696,-4023,-3921.0,45.0,2.3,0.6,-99.0,,,,10.2,76.7,21.8,321,45.3,,1078,15,,,2.23,-99
Namibia,2540905,1.86,46375,3,823290,-4806,3.4,22,55.0,0.03,NAM,63.4,34.0,11.5,169.75,160.26,824116,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,,88,89,4816,6721,-1905,-1700.0,36.4,-99.0,,,,,,41.3,102.1,22.3,115,8.5,,19,31,,,1.24,-99
Nepal,29136808,1.85,528098,203,143350,41710,1.9,25,21.0,0.37,NPL,70.5,10.0,9.6,164.36,152.39,147181,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3.0,,139,139,703,5249,-4547,2447.0,32.8,5.8,,3.7,,,,29.6,96.8,17.6,104,25.4,,451,19,,,5.73,-99
